cell,rate,w,method,eval,mean_reward,best_val_ber
R0.75_w2,0.75,2,cem,80,,2.2638e-03
R0.75_w2,0.75,2,cem,120,,1.9513e-03
R0.75_w2,0.75,2,cem,160,,1.9513e-03
R0.75_w2,0.75,2,cem,200,,1.4489e-03
R0.75_w2,0.75,2,cem,240,,1.4489e-03
R0.75_w2,0.75,2,cem,280,,1.4489e-03
R0.75_w2,0.75,2,cem,320,,1.2429e-03
R0.75_w2,0.75,2,cem,360,,7.2088e-04
R0.75_w2,0.75,2,cem,400,,7.2088e-04
R0.75_w2,0.75,2,cem,440,,7.2088e-04
R0.75_w2,0.75,2,cem,480,,7.2088e-04
R0.75_w2,0.75,2,random,40,,1.7702e-03
R0.75_w2,0.75,2,random,80,,1.7702e-03
R0.75_w2,0.75,2,random,120,,1.7702e-03
R0.75_w2,0.75,2,random,160,,1.7702e-03
R0.75_w2,0.75,2,random,200,,1.7702e-03
R0.75_w2,0.75,2,random,240,,1.7702e-03
R0.75_w2,0.75,2,random,280,,1.7702e-03
R0.75_w2,0.75,2,random,320,,1.1399e-03
R0.75_w2,0.75,2,random,360,,1.1399e-03
R0.75_w2,0.75,2,random,400,,1.1399e-03
R0.75_w2,0.75,2,random,440,,1.1399e-03
R0.75_w2,0.75,2,random,480,,1.1399e-03
R0.75_w3,0.75,3,rl,40,2.2096,3.1526e-03
R0.75_w3,0.75,3,rl,80,2.3225,3.1526e-03
R0.75_w3,0.75,3,rl,120,2.0999,2.5963e-03
R0.75_w3,0.75,3,rl,160,2.4228,2.0557e-03
R0.75_w3,0.75,3,rl,200,2.3268,2.0557e-03
R0.75_w3,0.75,3,rl,240,2.2175,8.6411e-04
R0.75_w3,0.75,3,rl,280,2.2814,8.6411e-04
R0.75_w3,0.75,3,rl,320,2.4979,8.6411e-04
R0.75_w3,0.75,3,rl,360,2.4606,8.6411e-04
R0.75_w3,0.75,3,rl,400,2.6561,8.6411e-04
R0.75_w3,0.75,3,rl,440,2.7121,8.6411e-04
R0.75_w3,0.75,3,rl,480,2.7729,8.6411e-04
R0.75_w3,0.75,3,rl_peredge,40,2.4868,2.6712e-03
R0.75_w3,0.75,3,rl_peredge,80,2.3741,2.2195e-03
R0.75_w3,0.75,3,rl_peredge,120,2.2624,2.2195e-03
R0.75_w3,0.75,3,rl_peredge,160,2.2960,2.2195e-03
R0.75_w3,0.75,3,rl_peredge,200,2.5408,2.2195e-03
R0.75_w3,0.75,3,rl_peredge,240,2.4925,1.7401e-03
R0.75_w3,0.75,3,rl_peredge,280,2.8885,1.7401e-03
R0.75_w3,0.75,3,rl_peredge,320,2.6114,8.1676e-04
R0.75_w3,0.75,3,rl_peredge,360,2.9057,8.1676e-04
R0.75_w3,0.75,3,rl_peredge,400,2.5935,8.1676e-04
R0.75_w3,0.75,3,rl_peredge,440,2.8536,8.1676e-04
R0.75_w3,0.75,3,rl_peredge,480,2.8148,8.1676e-04
R0.75_w3,0.75,3,cem,40,,3.8293e-03
R0.75_w3,0.75,3,cem,80,,3.1467e-03
R0.75_w3,0.75,3,cem,120,,2.3655e-03
R0.75_w3,0.75,3,cem,160,,2.3655e-03
R0.75_w3,0.75,3,cem,200,,2.2984e-03
R0.75_w3,0.75,3,cem,240,,1.6888e-03
R0.75_w3,0.75,3,cem,280,,1.0476e-03
R0.75_w3,0.75,3,cem,320,,1.0476e-03
R0.75_w3,0.75,3,cem,360,,1.0476e-03
R0.75_w3,0.75,3,cem,400,,1.0476e-03
R0.75_w3,0.75,3,cem,440,,9.5486e-04
R0.75_w3,0.75,3,cem,480,,9.5486e-04
R0.75_w3,0.75,3,random,40,,4.5316e-03
R0.75_w3,0.75,3,random,80,,2.2865e-03
R0.75_w3,0.75,3,random,120,,2.2865e-03
