cell,rate,w,method,eval,mean_reward_loss,best_val_fer
R0.833_w3,0.833,3,rl_peredge,800,-0.0672,0.0250
R0.833_w3,0.833,3,cem,80,,0.3000
R0.833_w3,0.833,3,cem,160,,0.2125
R0.833_w3,0.833,3,cem,240,,0.2125
R0.833_w3,0.833,3,cem,320,,0.2125
R0.833_w3,0.833,3,cem,400,,0.0750
R0.833_w3,0.833,3,cem,480,,0.0750
R0.833_w3,0.833,3,cem,560,,0.0750
R0.833_w3,0.833,3,cem,640,,0.0750
R0.833_w3,0.833,3,cem,720,,0.0750
R0.833_w3,0.833,3,cem,800,,0.0750
R0.833_w3,0.833,3,random,80,,0.0000
R0.833_w3,0.833,3,random,160,,0.0000
R0.833_w3,0.833,3,random,240,,0.0000
R0.833_w3,0.833,3,random,320,,0.0000
R0.833_w3,0.833,3,random,400,,0.0000
R0.833_w3,0.833,3,random,480,,0.0000
R0.833_w3,0.833,3,random,560,,0.0000
R0.833_w3,0.833,3,random,640,,0.0000
R0.833_w3,0.833,3,random,720,,0.0000
R0.833_w3,0.833,3,random,800,,0.0000
R0.875_w1,0.875,1,rl,80,-0.0734,0.1250
R0.875_w1,0.875,1,rl,160,-0.0953,0.1250
R0.875_w1,0.875,1,rl,240,-0.0781,0.0500
R0.875_w1,0.875,1,rl,320,-0.0609,0.0375
R0.875_w1,0.875,1,rl,400,-0.0219,0.0375
R0.875_w1,0.875,1,rl,480,-0.1500,0.0375
R0.875_w1,0.875,1,rl,560,-0.0312,0.0375
R0.875_w1,0.875,1,rl,640,-0.0922,0.0375
R0.875_w1,0.875,1,rl,720,-0.0766,0.0375
